SNR_dB,BPSK,QPSK,2ASK,4ASK
-5,0.214972,0.287083,0.285389,0.332847
-4,0.188167,0.265014,0.263722,0.310153
-3,0.157417,0.239556,0.237444,0.284278
-2,0.130028,0.211944,0.212944,0.263236
-1,0.105083,0.185375,0.186056,0.237625
0,0.0756944,0.157889,0.161389,0.212236
1,0.0560278,0.131194,0.131111,0.186736
2,0.0373611,0.103389,0.10175,0.163597
3,0.0226667,0.0783194,0.0788889,0.141319
4,0.0123889,0.0565,0.057,0.117597
5,0.00688889,0.0377778,0.0390556,0.097375
6,0.00233333,0.023625,0.0232222,0.078125
7,0.000916667,0.0130972,0.0124444,0.0594444
8,0.000111111,0.00594444,0.00594444,0.0419167
9,0,0.00247222,0.00227778,0.0280694
10,2.77778e-05,0.000722222,0.00102778,0.017375
11,0,0.000236111,0.000305556,0.00952778
12,0,5.55556e-05,2.77778e-05,0.004375
13,0,0,2.77778e-05,0.00170833
14,0,0,0,0.000638889
15,0,0,0,0.000152778
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
